prompt,seq,score
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","US Stocks Gain; Shares of Citigroup, Bank of America Advance US stocks gained on optimism that third-quarter earnings this week from companies including Citigroup Inc. and Bank of America Corp.The main topic of the news article is: US Stock Market PerformanceCategory: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Inzaghi is ready to face Barcelona ROME, Italy -- The battle for control of Champions League Group F match begins in earnest on Wednesday when AC Milan face Barcelona at Rome #39;s San Siro stadium.The main topic of the news article is: AC Milan vs Barcelona Champions League matchCategory: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Quantum Astronomy: The Heisenberg Uncertainty Principle (SPACE.com) SPACE.com - This is the second article in a series of four articles each with a separate explanation of different quantum phenomena. Each article is a piece of a mosaic, so every one is needed to understand the final explanation of the quantum astronomy experiment we propose, possibly using the Allen Array Telescope and the narrow-band radio-wave detectors being build by the SETI Institute and the University of California, Berkeley.The main topic of the news article is: Quantum Astronomy and the Heisenberg Uncertainty Principle.I choose: **Tech** (although it's more specifically related to Space and Astronomy, Tech is the closest category)",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Nintendo's innards Wondering what your shiny new Nintendo DS looks like on the inside? Lik Sang saves you the voided warranty with a new photo gallery showing a detailed dissection of the new handheld game machine. Missing LinksThe main topic of the news article is: A photo gallery showing the internal components of the Nintendo DS handheld game machine.Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Resident Evil 4 Exclusive No More November 01, 2004 - It looks like the folks at Capcom Entertainment were only kidding when they sternly insisted over and over again that the GameCube action-thriller Resident Evil 4 would forever remain exclusive to Nintendo #39;s console.The main topic of the news article is: Resident Evil 4's exclusivity to Nintendo GameCube console.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Halliburton to Restructure KBR Unit (Reuters) Reuters - Halliburton Co.  said on\Thursday it would restructure its KBR unit and may shed the\business if the oil services company's stock performance keeps\lagging its peers.The main topic of the news article is: Halliburton's plan to restructure its KBR unit.Category: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Alessandro Petacchi Claims 2nd Stage of Tour of Spain Italian cyclist Alessandro Petacchi won the second stage of the Tour of Spain in a mass sprint finish, as Dutchman Max van Heeswijk claimed the leader #39;s yellow jersey.The main topic of the news article is: Alessandro Petacchi wins the 2nd stage of the Tour of Spain.Category: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Hollywood backs HD DVD Hollywood film studios have pledged support for one of the competing formats battling for primacy in the DVD market. The group supporting the HD DVD optical disc format for high-definition video is vying with the rival Blu-ray Disc format .The main topic of the news article is: Support for HD DVD format by Hollywood film studios.Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",NL Wrap: Ramirez Shines in Cubs Victory Over Reds (Reuters) Reuters - Aramis Ramirez homered three times and\drove in all of Chicago's runs as the Cubs edged the Cincinnati\Reds 5-4 in National League play at the Great American Ballpark\on Thursday.The main topic of the news article is: A baseball game between the Chicago Cubs and the Cincinnati Reds.Category: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Japan typhoon kills two The most powerful typhoon to hit eastern Japan in a decade has headed out to sea after pummelling Tokyo, leaving two dead, snarling transport on a long holiday weekend and forcing thousands in the countryside to evacuate.The main topic of the news article is: A powerful typhoon hitting Japan and causing damage and casualties.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Sony keeps PSP production low, focuses on PS2 Low initial shipment figures for Sony #39;s forthcoming PlayStation Portable are down to a decision to focus on manufacturing the profitable PlayStation 2 hardware, according to a spokesperson for the Japanese giant.The main topic of the news article is Sony's production priorities for its gaming consoles.I would categorize this article as: **Tech**",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Gap 3Q Earnings Meet Analysts' Estimates (AP) AP - Gap Inc.'s third-quarter profit improved slightly even as the clothing retailer's sales began to sag.The main topic of the news article is: Gap Inc.'s 3Q earnings reportCategory: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Pakistan sweep nets bomb suspects Pakistan has arrested more than five suspects in a plot to bomb several high-profile targets in Islamabad, including the US Embassy and the official residences of Pakistan #39;s president, Gen.The main topic of the news article is: Arrests in Pakistan related to a bomb plotCategory: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Report: Israel set to collide with EU Confidential Israeli report also warns of country becoming a  #39;pariah state #39; like apartheid-era South Africa. Israel could one day become a  quot;pariah state quot; like apartheid-era South Africa.The main topic of the news article is: Israel's potential international isolation and comparison to apartheid-era South Africa.Category: World,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","GOLF: Woods-Mickelson not dream team Tiger Woods paired with Phil Mickelson. A dream team in golf gloves. Together, they would lead the charge at the Ryder Cup, carry the United States into an early lead, discourage the Europeans, ignite the home crowd.The main topic of the news article is the pairing of Tiger Woods and Phil Mickelson in the Ryder Cup.I would categorize this article as: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","AMD launches Sempron for low power notebooks AMD has released the Mobile AMD Sempron processor 3000  #39;for Thin and Light Notebooks #39;. The low-power processor is aimed at entry-level notebooks, as opposed to the 3000 Mobile AMD Sempron Processor for Full-Size Notebooks.The main topic of the news article is: AMD's release of a new low-power processor for notebooks.I would categorize this article as: Tech.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Got Firefox? I #39;m dating myself here, but I can vividly recall the web browser scene ten years ago, when I #39;d eagerly download every new version of Netscape Navigator the moment it was released.The main topic of the news article is: The evolution of web browsers, specifically the author's memories of using Netscape Navigator.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Too Good to Be True Baseball's back in Washington. So with that award comes an acceptance letter to highlight those efforts that made this dream come to fruition.The main topic of the news article is: The return of baseball in Washington.Category: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Avery Johnson announces retirement Avery Johnson announced his retirement Thursday, officially ending his 16-year playing career and becoming a full-time assistant coach for the Dallas Mavericks.The main topic of the news article is: Avery Johnson's retirement and new coaching role.And I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Well, it worked for Bill So let me get this straight: Barry Bonds used steroids, but he didn #39;t inhale?***Mr. Schwarzenegger, meet your new lieutenant governor.The main topic of the news article appears to be a sarcastic commentary on a politician's denial of wrongdoing, likely related to Barry Bonds' steroid scandal and a comparison to a politician (possibly Arnold Schwarzenegger).Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Trojan Mugs UK Web Banking Customers The Banker-AJ trojan has been coded to lie dormant in the background on infected Windows PCs. When users visit legitimate online banking Web sites of certain UK banks, the malicious code is The main topic of the news article is: A new trojan virus targeting UK online banking customers.I would categorize this article under: **Tech**",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Shanghai set for Formula One race China is hosting its first Formula One Grand Prix on a gleaming new \$240 million circuit in Shanghai.The main topic of the news article is: China hosting its first Formula One Grand Prix in Shanghai.Category: Sports,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Yukos faces \$6.2bn tax deadline Russian oil giant Yukos says it is about to miss a deadline on a back tax payment of more than \$6bn due from 2002.The main topic of the news article is: Russian oil giant Yukos facing a deadline for a large back tax payment.Category: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Court Throws Out Hollinger Int'l Lawsuit  NEW YORK (Reuters) - A U.S. court on Friday dealt a blow to  Hollinger International Inc.'s &lt;A HREF=""""http://www.investor.reuters.com/FullQuote.aspx?ticker=HLR.N target=/stocks/quickinfo/fullquote""""&gt;HLR.N&lt;/A&gt; efforts to recover \$1.25  billion from ex-chairman Conrad Black and others, dismissing  its racketeering lawsuit against them.The main topic of the news article is: A US court dismissing Hollinger International's lawsuit against ex-chairman Conrad Black.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Inter Conquer Brussels Inter emerged as the winners over Anderlecht in Brussels to claim the first spot in the Champions League Group G. The nerazzurri took the lead nearly immediately when Adriano from the left served a low powerful The main topic of the news article is: Inter wins Champions League match against Anderlecht.And I choose: **Sports**.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Guarding of Ukraine central election commission relieved KIEV, November 3 (Itar-Tass) - Water cannons and armoured personnel carriers were removed from the territory of the Ukrainian central election commission on Wednesday.The main topic of the news article is: Removal of security measures from Ukraine's central election commission.Category: World",1
